stateid,state_2001,dist01_census2001,district_2001_name,state_2026,current_districts_2026,reorg_events,status,notes,distid_ihds_internal_DO_NOT_JOIN_ON_THIS,distname_code_legacy
2,Himachal Pradesh,10.0,Sirmaur,Himachal Pradesh,Sirmaur,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",10,210.0
2,Himachal Pradesh,11.0,Shimla,Himachal Pradesh,Shimla,"No change since 1972 reorganization -- confirmed via HP government's own figures publication (""no change in the administrative structure of HP"" since 1 Sept 1972) and multiple independent sources",CONFIRMED,"Verified this round: HP remains at 12 districts, stable since 1972. Some 2022 political proposals to split Mandi/Kangra remain unimplemented as of this check",11,211.0
3,Punjab,1.0,Gurdaspur,Punjab,Gurdaspur; Pathankot,2011 district creation (Pathankot carved from Gurdaspur),CONFIRMED,,1,301.0
3,Punjab,2.0,Amritsar,Punjab,Amritsar; Tarn Taran,"Tarn Taran district formed out of Amritsar in 2006, to coincide with the 400th anniversary of Guru Arjan -- well documented",CONFIRMED,Verified this round via Wikipedia; Tarn Taran split postdates IHDS-I fieldwork (2004-05) but predates IHDS-II (2011-12) -- relevant if working across both waves,2,302.0
3,Punjab,3.0,Kapurthala,Punjab,Kapurthala,No change identified since 2001,CONFIRMED,,3,303.0
3,Punjab,4.0,Jalandhar,Punjab,Jalandhar,No change identified since 2001,CONFIRMED,,4,304.0
3,Punjab,5.0,Hoshiarpur,Punjab,Hoshiarpur,"No change since 2001. An Anandpur Sahib district was proposed in late 2025 (primarily from Ropar/Rupnagar, with contested plans to also add Hoshiarpur's Garhshankar tehsil), but as of this check the proposal has stalled -- an expected Nov 2025 announcement did not happen",CONFIRMED,Verified this round: Anandpur Sahib remains unimplemented as of the most recent sourcing found (spring 2026). Hoshiarpur itself is not confirmed as a real parent yet since the proposal never went through,5,305.0
3,Punjab,6.0,Nawanshahr,Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),Renamed; boundary unchanged,CONFIRMED,,6,306.0
3,Punjab,7.0,Rupnagar,Punjab,Rupnagar (Ropar),Mohali (SAS Nagar) split from Rupnagar in 2006. A proposed Anandpur Sahib district (primarily from Rupnagar) remains unimplemented as of this check (announcement expected Nov 2025 did not occur),CONFIRMED,Verified this round: both the 2006 Mohali split and the stalled Anandpur Sahib proposal are now confirmed rather than guessed,7,307.0
3,Punjab,8.0,Fatehgarh,Punjab,Fatehgarh Sahib,No change identified since 2001,CONFIRMED,,8,308.0
3,Punjab,9.0,Ludhiana,Punjab,Ludhiana,No change identified since 2001,CONFIRMED,,9,309.0
3,Punjab,10.0,Moga,Punjab,Moga,No change identified since 2001,CONFIRMED,,10,310.0
3,Punjab,11.0,Firozpur,Punjab,Firozpur; Fazilka,2011 district creation (Fazilka carved from Firozpur),CONFIRMED,,11,311.0
3,Punjab,16.0,Sangrur,Punjab,Sangrur; Barnala; Malerkotla (partial),2006 district creation (Barnala); 2021 district creation (Malerkotla),CONFIRMED,,16,316.0
3,Punjab,17.0,Patiala,Punjab,Patiala,No change identified since 2001,CONFIRMED,,17,317.0
4,Chandigarh,1.0,Chandigarh,Chandigarh,Chandigarh,No change -- single-unit UT,CONFIRMED,,0,401.0
5,Uttaranchal,5.0,Dehradun,Uttarakhand,Dehradun,No change identified since 2000 state formation; state renamed from Uttaranchal to Uttarakhand in 2007,CONFIRMED,,5,505.0
5,Uttaranchal,8.0,Bageshwar,Uttarakhand,Bageshwar,No change identified since 2000,CONFIRMED,,8,508.0
5,Uttaranchal,9.0,Almora,Uttarakhand,Almora,No change identified since 2000,CONFIRMED,,9,509.0
5,Uttaranchal,11.0,Nainital,Uttarakhand,Nainital,No change identified since 2000,CONFIRMED,,11,511.0
5,Uttaranchal,12.0,Udham Singh Nagar,Uttarakhand,Udham Singh Nagar,No change identified since 2000,CONFIRMED,,12,512.0
5,Uttaranchal,13.0,Hardwar,Uttarakhand,Haridwar,No change identified since 2000,CONFIRMED,,13,513.0
6,Haryana,1.0,Panchkula,Haryana,Panchkula,No change identified since 2001,CONFIRMED,,1,601.0
6,Haryana,2.0,Ambala,Haryana,Ambala,No change identified since 2001,CONFIRMED,,2,602.0
6,Haryana,3.0,Yamunanagar,Haryana,Yamunanagar,No change identified since 2001,CONFIRMED,,3,603.0
6,Haryana,4.0,Kurukshetra,Haryana,Kurukshetra,No change identified since 2001,CONFIRMED,,4,604.0
6,Haryana,5.0,Kaithal,Haryana,Kaithal,No change identified since 2001,CONFIRMED,,5,605.0
6,Haryana,6.0,Karnal,Haryana,Karnal,No change identified since 2001,CONFIRMED,,6,606.0
6,Haryana,8.0,Sonipat,Haryana,Sonipat,No change identified since 2001,CONFIRMED,,8,608.0
6,Haryana,9.0,Jind,Haryana,Jind,No change identified since 2001,CONFIRMED,,9,609.0
6,Haryana,10.0,Fatehabad,Haryana,Fatehabad,No change identified since 2001,CONFIRMED,,10,610.0
6,Haryana,12.0,Hissar,Haryana,Hisar,No change identified since 2001,CONFIRMED,,12,612.0
6,Haryana,13.0,Bhiwani,Haryana,Bhiwani; Charkhi Dadri,2016 district creation (Charkhi Dadri carved from Bhiwani),CONFIRMED,,13,613.0
6,Haryana,17.0,Rewari,Haryana,Rewari,No change identified since 2001,CONFIRMED,,17,617.0
6,Haryana,18.0,Gurgaon,Haryana,Gurugram,Renamed from Gurgaon to Gurugram (2016); boundary unchanged; Nuh (Mewat) was already split off in 2005 pre-dating this,PROVISIONAL - needs verification,Confirm whether this DISTID's PSUs include Mewat/Nuh-area villages sampled pre-split,18,618.0
6,Haryana,19.0,Faridabad,Haryana,Faridabad,No change identified since 2001,CONFIRMED,,19,619.0
7,Delhi,1.0,North West,Delhi,North West Delhi,"Delhi expanded from 9 to 11 revenue districts in 2012, then to 13 in a Dec 2025/Jan 2026 reorganization that dissolved Shahdara and realigned boundaries to match Municipal Corporation of Delhi zones",PROVISIONAL - needs verification,"RESOLVED structurally via the official IHDS-I codebook (22626-0002-Codebook.pdf), which confirms DIST01=1 is a genuine revenue district (North West), distinct from the non-district codes 10/11 below. Exact current boundary is provisional given the reorganization took effect 1 January 2026 -- very recent, worth a follow-up check",1,701.0
7,Delhi,2.0,North,Delhi,North Delhi (or successor -- see notes),Same 2012 and Dec 2025/Jan 2026 reorganizations as above,PROVISIONAL - needs verification,"RESOLVED structurally via the codebook (DIST01=2, a genuine district). Current status uncertain: the Jan 2026 reorganization created ""Central North Delhi"" and ""Outer North Delhi"" as part of realigning to MCD zones, and it is not confirmed from available sourcing whether ""North Delhi"" persists as a separate district or was absorbed into these two new ones",2,702.0
7,Delhi,3.0,North East,Delhi,North East Delhi,No specific split identified for this district in the 2012 or 2026 reorganizations,PROVISIONAL - needs verification,"RESOLVED structurally via the codebook (DIST01=3, a genuine district). Not individually re-verified against the Jan 2026 reorganization's full district list",3,703.0
7,Delhi,4.0,East,Delhi,"East Delhi; Shahdara (2012, dissolved again Jan 2026 into ""Old Delhi"" per the MCD-alignment reorganization)","2012 district creation (Shahdara, from East Delhi); Shahdara itself dissolved in the Jan 2026 reorganization",PROVISIONAL - needs verification,"RESOLVED structurally via the codebook (DIST01=4, a genuine district). Two layers of change here (2012 split, then Jan 2026 dissolution of that same new district) -- current successor unit not fully confirmed",4,704.0
7,Delhi,7.0,West,Delhi,West Delhi,No specific split identified,CONFIRMED,"RESOLVED structurally via the codebook (DIST01=7, a genuine district), not implicated in either the 2012 or Jan 2026 reorganizations based on available sourcing",7,707.0
7,Delhi,8.0,South West,Delhi,South West Delhi,No specific split identified,CONFIRMED,"RESOLVED structurally via the codebook (DIST01=8, a genuine district), not implicated in either reorganization based on available sourcing",8,708.0
7,Delhi,9.0,South,Delhi,South Delhi; South East Delhi (2012),"2012 district creation (South East Delhi, from South Delhi)",CONFIRMED,"RESOLVED structurally via the codebook (DIST01=9, a genuine district). The 2012 South East split is well documented and not implicated in the Jan 2026 reorganization based on available sourcing",9,709.0
7,Delhi,10.0,Delhi Municipal Corp,Delhi,NOT APPLICABLE -- not a district,,UNRESOLVED,"CONFIRMED via the official codebook that this is NOT a revenue district at all -- it is the (former) Municipal Corporation of Delhi, a local governance body. Households coded here cannot be placed into the district-level crosswalk framework; they would need to be reassigned via a different geography (e.g. MCD zone) entirely",10,710.0
7,Delhi,11.0,New Delhi Municipal C,Delhi,NOT APPLICABLE -- not a district,,UNRESOLVED,"CONFIRMED via the official codebook that this is NOT a revenue district -- it is the New Delhi Municipal Council, a local governance body distinct from the surrounding New Delhi revenue district. Same limitation as DIST01=10 above",11,711.0
8,Rajasthan,3.0,Bikaner,Rajasthan,Bikaner,Not a parent of any retained or reversed 2023-24 district,CONFIRMED,"Rajasthan's geography has been unusually unstable (redrawn twice in two years) -- verify against a primary MHA/Rajasthan gazette source before treating as final Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",3,803.0
8,Rajasthan,4.0,Churu,Rajasthan,Churu,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",4,804.0
8,Rajasthan,5.0,Jhunjhunu,Rajasthan,Jhunjhunu,"Contributed partial territory to the now-reversed Neem Ka Thana (2023, merged back Dec 2024)",CONFIRMED,"Boundary effectively reverted to original as of Dec 2024, but confirm no residual change Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",5,805.0
8,Rajasthan,6.0,Alwar,Rajasthan,Alwar; Khairthal-Tijara; part of Kotputli-Behror,"2023 district creation (Khairthal-Tijara and part of Kotputli-Behror), retained after the Dec 2024 reversal",CONFIRMED,"Kotputli-Behror's exact parentage is split between Alwar and Jaipur -- sub-district detail needed to fully resolve Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",6,806.0
8,Rajasthan,7.0,Bharatpur,Rajasthan,Bharatpur; Deeg,"2023 district creation (Deeg), retained after the Dec 2024 reversal",CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",7,807.0
8,Rajasthan,8.0,Dhaulpur,Rajasthan,Dhaulpur,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",8,808.0
8,Rajasthan,9.0,Karauli,Rajasthan,Karauli,Not directly affected by 2023-24 changes,CONFIRMED,"RESOLVED via DIST01 (Census 2001 district code): DIST01=9 confirms this is genuinely Karauli, distinct from DISTID=10's Sawai Madhopur -- see master file methodology note Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",9,809.0
8,Rajasthan,10.0,Sawai Madhopur,Rajasthan,Sawai Madhopur,"Parent of Gangapur City (created 2023, reversed/merged back Dec 2024)",CONFIRMED,"RESOLVED via DIST01=10 -- distinct from DISTID=9's Karauli Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",10,810.0
8,Rajasthan,11.0,Dausa,Rajasthan,Dausa,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",11,811.0
8,Rajasthan,12.0,Jaipur,Rajasthan,Jaipur; part of Kotputli-Behror,"Jaipur Rural and Dudu created 2023, both reversed/merged back Dec 2024",CONFIRMED,"Kotputli-Behror parentage split with Alwar -- see note on DISTID=6 Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",12,812.0
8,Rajasthan,13.0,Sikar,Rajasthan,Sikar,"Neem Ka Thana created 2023 from Sikar and Jhunjhunu, reversed/merged back Dec 2024 after sustained local protests",CONFIRMED,"Boundary effectively reverted as of Dec 2024 Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",13,813.0
8,Rajasthan,14.0,Nagaur,Rajasthan,Nagaur; Didwana-Kuchaman (partial),"2023 district creation (Didwana-Kuchaman, drawn partly from Nagaur and partly from Sikar), retained after the Dec 2024 reversal",CONFIRMED,"Exact territorial split between Nagaur and Sikar not confirmed Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",14,814.0
8,Rajasthan,15.0,Jodhpur,Rajasthan,Jodhpur; Phalodi,"Jodhpur Rural created 2023, reversed/merged back Dec 2024",CONFIRMED,"Phalodi retained; Jodhpur Rural reverted Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",15,815.0
8,Rajasthan,18.0,Jalor,Rajasthan,Jalor,"Sanchore created 2023 from Jalor, reversed/merged back Dec 2024",CONFIRMED,"Boundary effectively reverted as of Dec 2024 Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",18,818.0
8,Rajasthan,20.0,Pali,Rajasthan,Pali,Not a parent of any retained 2023-24 district; the short-lived Pali division (not a district) was also abolished Dec 2024,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",20,820.0
8,Rajasthan,21.0,Ajmer,Rajasthan,Ajmer; Beawar,"Kekri created 2023, reversed/merged back Dec 2024",CONFIRMED,"Beawar retained; Kekri reverted Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",21,821.0
8,Rajasthan,24.0,Bhilwara,Rajasthan,Bhilwara,"Shahpura created 2023, reversed/merged back Dec 2024",CONFIRMED,"Boundary effectively reverted as of Dec 2024 Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",24,824.0
8,Rajasthan,25.0,Rajsamand,Rajasthan,Rajsamand,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",25,825.0
8,Rajasthan,26.0,Udaipur,Rajasthan,Udaipur; Salumber,"2023 district creation (Salumber), retained after the Dec 2024 reversal",CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",26,826.0
8,Rajasthan,29.0,Chittaurgarh,Rajasthan,Chittorgarh,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",29,829.0
8,Rajasthan,30.0,Kota,Rajasthan,Kota,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",30,830.0
8,Rajasthan,31.0,Baran,Rajasthan,Baran,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",31,831.0
8,Rajasthan,32.0,Jhalawar,Rajasthan,Jhalawar,Not a parent of any retained or reversed 2023-24 district,CONFIRMED," Verified this round against multiple independent news sources (IANS, India TV, Swarajya) confirming the exact list of 9 abolished districts (Anupgarh, Dudu, Gangapur City, Jaipur Rural, Jodhpur Rural, Kekri, Neem Ka Thana, Sanchore, Shahpura) and 8 retained (Balotra, Beawar, Deeg, Khairthal-Tijara, Didwana-Kuchaman, Kotputli-Behror, Phalodi, Salumber) as of the Dec 28 2024 cabinet decision -- matches this crosswalk's mapping exactly.",32,832.0
9,Uttar Pradesh,1.0,Saharanpur,Uttar Pradesh,Saharanpur,No change identified since 2001,CONFIRMED,,1,901.0
9,Uttar Pradesh,2.0,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar; Shamli,"2011 district creation (Shamli initially named Prabuddh Nagar, renamed 2012)",CONFIRMED,,2,902.0
9,Uttar Pradesh,3.0,Bijnor,Uttar Pradesh,Bijnor,No change identified since 2001,CONFIRMED,,3,903.0
9,Uttar Pradesh,4.0,Moradabad,Uttar Pradesh,Moradabad; Sambhal (partial),2011 district creation -- Sambhal carved from parts of both Moradabad and Budaun,PROVISIONAL - needs verification,"Sambhal's territory spans two 2001 parent districts; a household-level assignment needs sub-district detail, not just DISTID Confirmed this round via two independent sources (Wikipedia + Hindustan Times Labs shapefile documentation): Sambhal's parent districts are exactly Moradabad and Budaun, no others. Still needs sub-district detail to fully resolve household-level assignment.",4,904.0
9,Uttar Pradesh,5.0,Rampur,Uttar Pradesh,Rampur,No change identified since 2001,CONFIRMED,,5,905.0
9,Uttar Pradesh,6.0,Jyotiba Phule Nagar,Uttar Pradesh,Amroha,Renamed from Jyotiba Phule Nagar to Amroha (2012); boundary unchanged,CONFIRMED,,6,906.0
